Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
1,0,1,48789,Cultus VXR,818000,1,1,2014
2,0,1,95500,Vitz,1350000,1,1,2013
1,0,1,8000,Cultus VXR,400000,1,1,2001
2,1,1,15500,Corolla GLI,1820000,1,1,2015
2,0,3,100000,Hilux,2650000,1,1,2007
13,1,2,2550,Racer,160000,1,1,1996
1,0,1,100000,Alto,380000,1,1,2001
3,0,1,80182,City Vario,685000,1,1,2005
16,0,1,123456,Other,650000,1,1,1964
1,0,2,50000,FX,90000,1,1,1987
1,0,1,69000,Cultus VXR,710000,1,1,2012
2,1,1,43946,Corolla GLI,1810000,1,1,2016
6,0,2,5000,Lancer Evolution,85000,1,1,1986
1,0,1,13800,Cultus VXR,1025000,1,1,2016
3,0,2,79250,Civic EXi,775000,1,1,2005
2,0,1,85000,Corolla GLI,1150000,1,1,2010
3,0,1,75000,City IDSI,670000,1,1,2005
1,0,1,75000,Alto,690000,1,1,2008
3,1,1,21900,Civic VTi Oriel Prosmatec,2725000,1,1,2017
1,0,2,100000,Other,220000,1,1,1984
3,0,1,123456,Civic VTi Oriel Prosmatec,1020000,2,1,2007
3,0,1,60986,City IDSI,950000,1,1,2006
1,0,1,38000,Mehran VXR,510000,1,1,2014
3,0,1,2342,Civic EXi,690000,1,1,2002
2,0,2,147000,Corolla XE,560000,1,1,1999
4,0,1,67000,Mira,900000,1,1,2012
3,0,1,76550,Civic Prosmetic,785000,1,1,2005
2,0,1,117000,Corolla GLI,1465000,1,1,2012
1,1,1,71500,Cultus VXR,670000,1,1,2010
1,0,2,43000,Margalla,265000,1,1,1993
2,0,2,125000,Corolla XLI,850000,1,1,2006
1,0,1,43000,Alto,660000,1,1,2011
10,0,1,147500,Sunny,555000,1,1,1998
1,0,2,59000,Cultus VXR,460000,1,1,2005
1,0,1,92793,Cultus VXR,750000,1,1,2011
4,0,1,75000,Cuore,585000,1,1,2011
1,0,1,99000,Cultus VXR,550000,1,1,2006
3,0,1,87800,Civic VTi Oriel Prosmatec,1210000,1,1,2010
1,1,1,53000,Bolan,665000,1,1,2015
2,0,1,138000,Vitz,835000,1,1,2008
2,0,2,150000,Corolla Assista,1425000,3,1,2006
3,0,1,78000,Civic Prosmetic,860000,1,1,2005
1,0,4,145000,Bolan,280000,1,1,1991
1,0,2,84000,Khyber,220000,1,1,1992
3,0,2,23474,Civic EXi,175000,1,1,1986
1,1,1,3457,Cultus VXR,780000,1,1,2014
4,0,1,49000,Move,1095000,1,1,2014
1,0,2,23500,Cultus VXR,440000,2,1,2004
3,0,1,100000,City Vario,750000,1,1,2005
3,0,1,100000,City Vario,750000,1,1,2005
3,0,1,137000,Civic EXi,415000,1,1,1995
2,0,1,47000,Corolla GLI,1430000,1,1,2013
4,0,1,113000,Cuore,555000,1,1,2005
3,0,2,129999,Civic EXi,580000,1,1,2003
2,0,1,105000,Corolla XLI,1020000,1,1,2009
2,1,1,21000,Prius,2900000,1,1,2016
2,0,1,100000,Vitz,920000,1,1,2006
4,0,1,23560,Charade,150000,1,1,1985
6,0,1,140000,Pajero Mini,395000,1,1,1997
15,1,2,200,Gx Series,900000,1,1,2017
1,0,2,100000,Bolan,310000,1,1,1997
1,0,1,60000,Alto,1050000,1,1,2014
2,0,1,18500,Corolla GLI,2050000,1,1,2017
1,0,1,94000,Cultus VXR,876000,1,1,2013
2,0,1,83858,Corolla Axio,1525000,1,1,2007
1,0,2,72000,Cultus VXR,538000,1,1,2007
2,0,1,140000,Corrolla Altis,840000,1,1,2005
3,0,1,85000,Civic Prosmetic,875000,1,1,2005
1,0,2,86000,Alto,410000,1,1,2007
1,0,2,30000,Bolan,5000000,1,1,2008
6,0,1,123000,Lancer,725000,1,1,2005
1,0,2,85930,Alto,590000,1,1,2010
2,1,1,26000,Corolla GLI,1850000,1,1,2016
7,0,3,157000,5 Series,2000000,1,1,2007
2,1,1,14426,Corrolla Altis,2310000,1,1,2017
1,0,2,65000,Cultus VXR,610000,1,1,2008
2,0,1,85000,Prado,4000000,1,1,2005
1,0,1,80000,Alto,1000000,1,1,2014
2,1,4,105000,Aqua,1760000,1,1,2014
2,0,1,76500,Corolla GLI,1340000,1,1,2011
2,0,2,7500,Sera,600000,1,1,1992
4,1,1,35500,Move,1280000,1,1,2015
1,0,1,44000,Wagon R,835000,1,1,2015
